Language, Ratio
perl5.20-BitString, 0.0970010142234356
C++-BitString, 0.185138262081113
clojure-transientvector, 0.0521645464039808
Octave-Vector, 0.136672963001453
clojure-persistentvector, 0.00719909944230041
Python-BitString, 0.065729355585891
node-BitString, 0.0185377382336871
Haskell-Mutable Vector, 3.80939363248051e-05
perl-BitString, 2.07177104915232
Scala-BitString, 0.0612292848341715
julia-BitString, 1
PHP-BitString, 0.21867073627196
Scala-BitVector, 0.00954024425882249
Python-BitString, 0.587575880575983
clisp-simple_bit_vector, 0.0103892553613105
Go-BitVector, 0.0599216487114712
C-char[], 0.00852957865163591
perl-Bit_Vector, 0.606306553630719
Scala-BitVector, 0.000409335212239195
PHP-BitString, 3.63406101522097
perl-Bit_Vector, 0.811757576083484
C-char[], 0.102691639366166
Go-BitVector, 0.738368108410424
clisp-simple_bit_vector, 2.19609905406887
Python-BitString, 9.58975497151845
Haskell-Mutable Vector, 0.00111840169064908
node-BitString, 0.206416117102605
Python-BitString, 0.0761151573024724
clojure-persistentvector, 5.12983635449207e-05
Scala-BitString, 0.629106969581459
julia-BitString, 1
perl-BitString, 5.06952519392894
Octave-Vector, 0.0152989071122974
clojure-transientvector, 0.897015730082043
C++-BitString, 2.65369771985784
Rust-BitVector, 0.529961945257957
lua-BitString, 8.50167850765544
perl5.22-BitString, 1.01346814051455
perl5.20-BitString, 0.996933323116741
CSharp-BitVector, 6.22946452843806e-07
Java-BitSet, 2.15717844308032e-05
perlsimple-BitString, 0.0124694146772935
Octave-Vector, 0.0222914715338269
C++-BitString, 2.50556337527047
clojure-transientvector, 0.817847213489344
CSharp-BitVector, 6.02625263762086e-07
perl5.20-BitString, 0.948107350653297
perlsimple-BitString, 0.022124696807217
Java-BitSet, 4.02136194835647e-05
lua-BitString, 6.37412453301288
Rust-BitVector, 0.497968709351813
perl5.22-BitString, 0.94982171062052
Go-BitVector, 0.696254890194012
perl-Bit_Vector, 0.779543480459184
C-char[], 0.0965220528640524
Python-BitString, 8.98550389482368
clisp-simple_bit_vector, 1.13830829942915
Scala-BitVector, 0.00102504466328871
PHP-BitString, 3.34675476713126
Scala-BitString, 0.604509864858083
julia-BitString, 1
perl-BitString, 4.85463702204721
Haskell-Mutable Vector, 0.000713493791203616
Python-BitString, 0.0750827515375479
clojure-persistentvector, 7.69187256393253e-05
node-BitString, 0.193236775988353
clojure-transientvector, 0.53541998488976
C++-BitString, 1.84224105440488
Octave-Vector, 0.0544797555052713
Java-BitSet, 0.000118100514095614
perlsimple-BitString, 0.057838197411632
perl5.20-BitString, 0.71165499186245
CSharp-BitVector, 5.33289174663475e-07
perl5.22-BitString, 0.721154578588565
lua-BitString, 3.68974012675627
Rust-BitVector, 0.371629595448456
clisp-simple_bit_vector, 0.240193444268429
Python-BitString, 6.56982633638857
C-char[], 0.0712796444011899
perl-Bit_Vector, 0.711149007093529
Go-BitVector, 0.512158296125724
PHP-BitString, 2.4792257599112
Scala-BitVector, 0.00107551648920998
perl-BitString, 4.10066311387383
julia-BitString, 1
Scala-BitString, 0.433803939194924
node-BitString, 0.142911217207839
clojure-persistentvector, 0.000193739264210503
Python-BitString, 0.0756090992367779
Haskell-Mutable Vector, 0.00059643061294363
perl5.20-BitString, 0.859145823379511
CSharp-BitVector, 5.31852170200648e-07
Java-BitSet, 7.3512736685175e-05
perlsimple-BitString, 0.0383749501605579
lua-BitString, 4.78512884687279
Rust-BitVector, 0.445904198702331
perl5.22-BitString, 0.851420605747326
Octave-Vector, 0.0355323948908977
clojure-transientvector, 0.629880438091159
C++-BitString, 2.24695867106038
Scala-BitString, 0.517773062571923
julia-BitString, 1
perl-BitString, 4.55501197923195
Haskell-Mutable Vector, 0.000540673133023488
node-BitString, 0.174309874321566
Python-BitString, 0.0752179066308549
clojure-persistentvector, 0.000133502677922853
C-char[], 0.086560367620612
perl-Bit_Vector, 0.741446159793858
Go-BitVector, 0.613973826215526
clisp-simple_bit_vector, 0.516934365426727
Python-BitString, 7.96231265973912
Scala-BitVector, 0.000628089004317874
PHP-BitString, 3.00699670447141
perl-Bit_Vector, 0.668519790499301
Go-BitVector, 0.389537736066028
C-char[], 0.052841556362283
Python-BitString, 4.93105848194029
clisp-simple_bit_vector, 0.110375485947675
Scala-BitVector, 0.00153989400116673
PHP-BitString, 1.82455209368821
julia-BitString, 1
Scala-BitString, 0.336504373209355
perl-BitString, 3.54694957369637
Haskell-Mutable Vector, 0.000657221554503249
Python-BitString, 0.0750625630261192
clojure-persistentvector, 0.000287041985619405
node-BitString, 0.106552200181576
Octave-Vector, 0.0795926748510827
C++-BitString, 1.36950506795077
clojure-transientvector, 0.419621465940917
CSharp-BitVector, 4.087980961025e-07
perl5.20-BitString, 0.535134632022386
perlsimple-BitString, 0.0854834554159198
Java-BitSet, 0.000173893905199933
lua-BitString, 2.54645774221526
Rust-BitVector, 0.273332589585785
perl5.22-BitString, 0.553728341733497
julia-BitString, 1
Scala-BitString, 0.210565292941467
perl-BitString, 3.01076073591436
Haskell-Mutable Vector, 0.000147801195807823
node-BitString, 0.0722735340604701
Python-BitString, 0.0779703350560849
clojure-persistentvector, 0.000400406762368086
perl-Bit_Vector, 0.641852297791367
Go-BitVector, 0.265907758283929
C-char[], 0.0354693726041011
clisp-simple_bit_vector, 0.051209991786936
Python-BitString, 3.26733528500881
Scala-BitVector, 0.00194408366918326
PHP-BitString, 1.21744340043483
perl5.20-BitString, 0.377873949640438
CSharp-BitVector, 2.49804837985054e-07
Java-BitSet, 0.000232212332269956
perlsimple-BitString, 0.113589590562977
Rust-BitVector, 0.183314318398566
lua-BitString, 1.53286701879277
perl5.22-BitString, 0.379967730524149
Octave-Vector, 0.0990621902099563
clojure-transientvector, 0.255997849645476
C++-BitString, 0.923511832374878
lua-BitString, 0.149808760759306
Rust-BitVector, 0.114326577092569
perl5.22-BitString, 0.267751327891553
CSharp-BitVector, 0.00680715095841256
perl5.20-BitString, 0.0897905918079514
perlsimple-BitString, 0.0910560469116315
Java-BitSet, 0.00658552321978682
Octave-Vector, 6.99645384928169
C++-BitString, 0.496472069505691
clojure-transientvector, 0.123290845900112
Haskell-Mutable Vector, 1.27631806758399
Python-BitString, 0.183505659142231
clojure-persistentvector, 0.191456902779001
node-BitString, 0.153734942791937
Scala-BitString, 1.06080435279905
julia-BitString, 1
perl-BitString, 4.11745449581724
Scala-BitVector, 0.370553996031015
PHP-BitString, 0.082094189322941
perl-Bit_Vector, 1.08795106584486
Go-BitVector, 0.0143033431987195
C-char[], 0.032473494723957
Python-BitString, 1.93124193664831
clisp-simple_bit_vector, 0.209279282988821
Haskell-Mutable Vector, 0.0743241032447213
node-BitString, 0.0393326884451774
Python-BitString, 0.210535844746466
clojure-persistentvector, 39.6723895600531
Scala-BitString, 130.374471763002
julia-BitString, 1
perl-BitString, 126.679050860998
Scala-BitVector, 35.5019609532833
PHP-BitString, 0.0605781028128723
Go-BitVector, 0.0185396742277156
perl-Bit_Vector, 20.0486574978035
C-char[], 4.08387353992644
clisp-simple_bit_vector, 8.41979473321232
Python-BitString, 265.246877648906
lua-BitString, 0.251370192970156
perl5.22-BitString, 25.4223751332526
perl5.20-BitString, 0.0969369507696554
CSharp-BitVector, 0.211040737989145
Java-BitSet, 0.0202673128071432
perlsimple-BitString, 0.0675146571297247
Octave-Vector, 1.92701755206219
clojure-transientvector, 23.8746267012731
C++-BitString, 58.0218691758119
clojure-transientvector, 0.308898100157263
C++-BitString, 0.958380630543476
Octave-Vector, 7.05742768197246
Java-BitSet, 0.0069283517363067
perlsimple-BitString, 0.0918798180262465
perl5.20-BitString, 0.0911909826245781
CSharp-BitVector, 0.00801253339220629
perl5.22-BitString, 0.480722482015163
lua-BitString, 0.186066250597508
Rust-BitVector, 0.22227825385942
clisp-simple_bit_vector, 0.27455011009353
Python-BitString, 3.85007031662313
perl-Bit_Vector, 1.24511525484195
C-char[], 0.0642634227227884
Go-BitVector, 0.0133183431803889
PHP-BitString, 0.0827725034811138
Scala-BitVector, 0.709448300181537
perl-BitString, 5.2400033741601
Scala-BitString, 2.05532389612297
julia-BitString, 1
node-BitString, 0.155104689518243
clojure-persistentvector, 0.359567986020494
Python-BitString, 0.182331778669892
Haskell-Mutable Vector, 2.71872311672073
clojure-persistentvector, 48.3165917181328
Python-BitString, 0.812936826981461
node-BitString, 0.0248961128501032
Haskell-Mutable Vector, 0.14323399399788
perl-BitString, 151.915253626861
Scala-BitString, 157.777927699756
julia-BitString, 1
PHP-BitString, 0.0628065381296647
Scala-BitVector, 42.8122816768781
clisp-simple_bit_vector, 10.0669651630045
perl-Bit_Vector, 23.7402355894127
C-char[], 4.90446644816258
Go-BitVector, 0.024708814845833
perl5.22-BitString, 30.8461518323593
lua-BitString, 0.286609591338762
perlsimple-BitString, 0.0667494558350174
Java-BitSet, 0.0229599421680835
CSharp-BitVector, 0.255605790144584
perl5.20-BitString, 0.104286437015866
C++-BitString, 69.2891707931356
clojure-transientvector, 29.4628883659881
Octave-Vector, 1.19233141880779
clojure-persistentvector, 29.9092794880027
Python-BitString, 0.120668761457452
node-BitString, 0.059555012113597
Haskell-Mutable Vector, 0.0389570056922825
perl-BitString, 98.6238436055662
Scala-BitString, 98.7324774151219
julia-BitString, 1
